Date,Close,Volume
2024-01-02,185.64,82488700
2024-01-03,184.25,58414500
2024-01-04,181.91,71983600
2024-01-05,181.18,62303300
2024-01-08,185.56,59144500
2024-01-09,185.14,42841800
2024-01-10,186.19,46792900
2024-01-11,185.59,49128400
2024-01-12,185.92,40444700
2024-01-16,183.63,65603000
2024-01-17,182.68,47317400
2024-01-18,188.63,78005800
2024-01-19,191.56,68741000
2024-01-22,193.89,60133900
2024-01-23,195.18,42355600
2024-01-24,194.50,53631300
2024-01-25,194.17,54822100
2024-01-26,192.42,44594000
2024-01-29,191.73,47145600
2024-01-30,188.04,55859400
2024-01-31,184.40,55467800
2024-02-01,186.86,64885400
2024-02-02,185.85,102518000
2024-02-05,187.68,69668800
2024-02-06,189.30,43490800
2024-02-07,189.41,53439000
2024-02-08,188.32,40962000
2024-02-09,188.85,45155200
2024-02-12,187.15,41781900
2024-02-13,185.04,56529500
2024-02-14,184.15,54630500
2024-02-15,183.86,65434500
2024-02-16,182.31,49701400
2024-02-20,181.56,53665600
2024-02-21,182.32,41529700
2024-02-22,184.37,52292200
2024-02-23,182.52,45119700
2024-02-26,181.16,40867400
2024-02-27,182.63,54318900
2024-02-28,181.42,48953900
2024-02-29,180.75,136682700

